AAC Egypt	HEAR
AAE Algeria	DABB
AAL Denmark	EKYT
AAM South Africa	FAMD
AAN United Arab Em	OMAL
AAQ Russian Federa	URKA
AAR Denmark	EKAH
AAT People's Repub	ZWAT
AAX Unknown	NONE
ABC Unknown	NONE
ABE United States	KABE
ABI United States	KABI
ABJ Cote d'Ivoire	DIAP
ABK Ethiopia	HAKD
ABL Alaska	PAFM
ABM Unknown	NONE
ABQ United States	KABQ
ABR United States	KABR
ABS Egypt	HEBL
ABT Saudi Arabia	OEBA
ABV Nigeria	DNAA
ABX Australia	YMAY
ABY United States	KABY
ABZ United Kingdom	EGPD
ACA Mexico	MMAA
ACC Ghana	DGAA
ACE Canary Islands	GCRR
ACH Switzerland	LSZR
ACI United Kingdom	EGJA
ACK United States	KACK
ACT United States	KACT
ACV United States	KACV
ACY United States	KACY
ADA Turkey	LTAF
ADB Turkey	LTBJ
ADD Ethiopia	HAAB
ADE Yemen	OYAA
ADJ Jordan	OJAM
ADK Alaska	PADK
ADL Australia	YPAD
ADQ Alaska	PADQ
ADZ Colombia	SKSP
AED Unknown	NONE
AEP Argentina	SABE
AER Russian Federa	URSS
AES Norway	ENAL
AET Alaska	PFAL
AEX United States	KAEX
AEY Unknown	NONE
AFA Argentina	SAMR
AGA Morocco	GMAD
AGB Germany	EDMA
AGC United States	KAGC
AGF France	LFBA
AGH Sweden	ESTA
AGN Alaska	PAGN
AGP Spain	LEMG
AGR India	VIAG
AGS United States	KAGS
AGT Paraguay	SGES
AGU Mexico	MMAS
AHB Saudi Arabia	OEAB
AHN United States	KAHN
AHO Italy	LIEA
AHU Morocco	GMTA
AIA United States	KAIA
AIN Alaska	PAWI
AIY United States	KAIY
AJA France	LFKJ
AJF Saudi Arabia	OESK
AJI Turkey	LTCO
AJN Comoros	FMCV
AJR Sweden	ESNX
AJU Brazil	SBAR
AKF Libya	HLKF
AKJ Japan	RJEC
AKL New Zealand	NZAA
AKN Alaska	PAKN
AKU People's Repub	ZWAK
AKV Canada	CYKO
ALA Kazakhstan	UAAA
ALB United States	KALB
ALC Spain	LEAL
ALE Unknown	NONE
ALF Norway	ENAT
ALG Algeria	DAAG
ALL Italy	LIMG
ALM United States	KALM
ALO United States	KALO
ALP Syria	OSAP
ALS United States	KALS
ALW United States	KALW
ALY Egypt	HEAX
AMA United States	KAMA
AMD India	VAAH
AMH Ethiopia	HAAM
AMI Indonesia	WRRA
AMM Jordan	OJAI
AMQ Indonesia	WAPP
AMS Netherlands	EHAM
ANB United States	KANB
ANC Alaska	PANC
ANF Chile	SCFA
ANG France	LFBU
ANI Alaska	PANI
ANR Belgium	EBAW
ANU Antigua	TAPA
ANV Alaska	PANV
AOG People's Repub	ZYAS
AOI Italy	LIPY
AOJ Japan	RJSA
AOK Greece	LGKP
AOO United States	KAOO
AOR Malaysia	WMKA
AOU Laos	VLAP
APF United States	KAPF
APL Mozambique	FQNP
APN United States	KAPN
APW Samoa	NSFA
AQG People's Repub	ZSAQ
AQI Saudi Arabia	OEPA
AQJ Jordan	OJAQ
AQP Peru	SPQU
ARH Russian Federa	ULAA
ARI Chile	SCAR
ARM Australia	YARM
ARN Sweden	ESSA
ART United States	KART
ASB Turkmenistan	UTAA
ASD Bahamas	MYAF
ASE United States	KASE
ASF Russian Federa	URWA
ASJ Japan	RJKA
ASM Eritrea	HHAS
ASO Ethiopia	HASO
ASP Australia	YBAS
ASR Turkey	LTAU
ASU Paraguay	SGAS
ASW Egypt	HESN
ATC Bahamas	MYCA
ATH Greece	LGAV
ATL United States	KATL
ATM Brazil	SBHT
ATQ India	VIAR
ATW United States	KATW
ATY United States	KATY
ATZ Egypt	HEAT
AUA Aruba	TNCA
AUC Colombia	SKUC
AUG United States	KAUG
AUH United Arab Em	OMAA
AUS United States	KAUS
AUX Unknown	NONE
AVK Mongolia	ZMAH
AVL United States	KAVL
AVN France	LFMV
AVP United States	KAVP
AVV Australia	YMAV
AWZ Iran	OIAW
AXA Anguilla	TQPF
AXD Greece	LGAL
AXM Colombia	SKAR
AXP Bahamas	MYAP
AXT Japan	RJSK
AYQ Australia	YAYE
AYT Turkey	LTAI
AZA Unknown	NONE
AZD Iran	OIYY
AZN Uzbekistan	UTFA
AZO United States	KAZO
AZS Dominican Repu	MDCY
BAH Bahrain	OBBI
BAK Azerbaijan	UBBB
BAL Turkey	LTCJ
BAQ Colombia	SKBQ
BAU Brazil	SBBU
BAV People's Repub	ZBOW
BAX Russian Federa	UNBB
BAY Romania	LRBM
BBA Chile	SCBA
BBI India	VEBS
BBK Botswana	FBKE
BBN Malaysia	WBGZ
BBU Romania	LRBS
BCD Philippines	RPVB
BCI Australia	YBAR
BCN Spain	LEBL
BCQ Unknown	NONE
BDA Bermuda	TXKF
BDB Australia	YBUD
BDJ Indonesia	WRBB
BDL United States	KBDL
BDO Indonesia	WICC
BDQ India	VABO
BDR United States	KBDR
BDS Italy	LIBR
BDU Norway	ENDU
BEB United Kingdom	EGPL
BED United States	KBED
BEG Serbia	LYBE
BEH United States	KBEH
BEI Ethiopia	HABE
BEK Unknown	NONE
BEL Brazil	SBBE
BEN Libya	HLLB
BEO Unknown	NONE
BER Unknown	NONE
BES France	LFRB
BET Alaska	PABE
BEW Mozambique	FQBR
BEY Lebanon	OLBA
BFD United States	KBFD
BFF United States	KBFF
BFI United States	KBFI
BFL United States	KBFL
BFN South Africa	FABL
BFS United Kingdom	EGAA
BGA Colombia	SKBG
BGF Central Africa	FEFF
BGI Barbados	TBPB
BGK Unknown	NONE
BGM United States	KBGM
BGO Norway	ENBR
BGR United States	KBGR
BGY Italy	LIME
BHB United States	KBHB
BHD United Kingdom	EGAC
BHE New Zealand	NZWB
BHH Saudi Arabia	OEBH
BHI Argentina	SAZB
BHK Uzbekistan	UTSB
BHM United States	KBHM
BHO India	VABP
BHQ Australia	YBHI
BHS Australia	YBTH
BHU India	VABV
BHV Pakistan	OPBW
BHX United Kingdom	EGBB
BHY People's Repub	ZGBH
BIA France	LFKB
BIK Indonesia	WABB
BIL United States	KBIL
BIM Bahamas	MYBS
BIO Spain	LEBB
BIQ France	LFBZ
BIS United States	KBIS
BJI United States	KBJI
BJL The Gambia	GBYD
BJM Burundi	HBBA
BJR Ethiopia	HABD
BJX Mexico	MMLO
BKI Malaysia	WBKK
BKK Thailand	VTBS
BKL United States	KBKL
BKM Malaysia	WBGQ
BKO Mali	GABS
BKQ Australia	YBCK
BKW United States	KBKW
BKX United States	KBKX
BLA Venezuela	SVBC
BLE Sweden	ESSD
BLF United States	KBLF
BLG Malaysia	WBGC
BLI United States	KBLI
BLK United Kingdom	EGNH
BLL Denmark	EKBI
BLQ Italy	LIPE
BLR India	VOBL
BLT Australia	YBTR
BLZ Malawi	FWCL
BMA Sweden	ESSB
BME Australia	YBRM
BMG United States	KBMG
BMI United States	KBMI
BMP Unknown	NONE
BMV Vietnam	VVBM
BNA United States	KBNA
BND Iran	OIKB
BNE Australia	YBBN
BNJ Unknown	NONE
BNK Australia	YBNA
BNN Norway	ENBN
BNS Venezuela	SVBI
BNX Bosnia and Her	LQBK
BOB French Polynes	NTTB
BOD France	LFBD
BOG Colombia	SKBO
BOI United States	KBOI
BOJ Bulgaria	LBBG
BOM India	VABB
BON Netherlands An	TNCB
BOO Norway	ENBO
BOS United States	KBOS
BPN Indonesia	WALL
BPS Brazil	SBPS
BPT United States	KBPT
BPX Unknown	NONE
BQK United States	KBQK
BQN Puerto Rico	TJBQ
BQU Saint Vincent 	TVSB
BRC Argentina	SAZS
BRD United States	KBRD
BRE Germany	EDDW
BRI Italy	LIBD
BRL United States	KBRL
BRM Venezuela	SVBM
BRN Switzerland	LSZB
BRO United States	KBRO
BRQ Czech Republic	LKTB
BRR United Kingdom	EGPR
BRS United Kingdom	EGGD
BRT Australia	YBTI
BRU Belgium	EBBR
BRW Alaska	PABR
BSB Brazil	SBBR
BSK Algeria	DAUB
BSL Switzerland	LFSB
BTH Indonesia	WIDD
BTI Alaska	PABU
BTM United States	KBTM
BTR United States	KBTR
BTS Slovakia	LZIB
BTU Malaysia	WBGB
BTV United States	KBTV
BUD Hungary	LHBP
BUF United States	KBUF
BUQ Zimbabwe	FVBU
BUR United States	KBUR
BUX Democratic Rep	FZKA
BUZ Iran	OIBB
BVB Brazil	SBBV
BVC Cape Verde	GVBA
BVE France	LFBV
BVG Norway	ENBV
BVI Australia	YBDV
BWA Nepal	VNBW
BWD United States	KBWD
BWI United States	KBWI
BWN Brunei	WBSB
BWT Australia	YWYY
BXN Turkey	LTBV
BXU Philippines	RPME
BYN Mongolia	ZMBH
BYU Germany	EDQD
BZE Belize	MZBZ
BZG Poland	EPBY
BZN United States	KBZN
BZO Italy	LIPB
BZR France	LFMU
BZV Republic of th	FCBB
CAC Brazil	SBCA
CAE United States	KCAE
CAG Italy	LIEE
CAI Egypt	HECA
CAJ Venezuela	SVCN
CAK United States	KCAK
CAL United Kingdom	EGEC
CAN People's Repub	ZGGG
CAS Morocco	GMMC
CAY French Guiana	SOCA
CBB Bolivia	SLCB
CBE United States	KCAV
CBG United Kingdom	EGSC
CBL Venezuela	SVCB
CBO Philippines	RPMC
CBR Australia	YSCB
CCF France	LFMK
CCJ India	VOCL
CCP Chile	SCIE
CCS Venezuela	SVMI
CCU India	VECC
CDB Alaska	PACD
CDC United States	KCDC
CDG France	LFPG
CDH Unknown	NONE
CDR United States	KCDR
CDV Alaska	PACV
CDW United States	KCDW
CEB Philippines	RPVM
CEC United States	KCEC
CED Australia	YCDU
CEI Thailand	VTCT
CEK Russian Federa	USCC
CEN Mexico	MMCN
CER France	LFRC
CEZ United States	KCEZ
CFA Unknown	NONE
CFE France	LFLC
CFR France	LFRK
CFS Australia	YCFS
CFU Greece	LGKR
CGA Unknown	NONE
CGB Brazil	SBCY
CGD Unknown	NONE
CGH Brazil	SBSP
CGI United States	KCGI
CGK Indonesia	WIII
CGN Germany	EDDK
CGO People's Repub	ZHCC
CGP Bangladesh	VGEG
CGQ People's Repub	ZYCC
CGR Brazil	SBCG
CGX Unknown	NONE
CGY Philippines	RPML
CHA United States	KCHA
CHC New Zealand	NZCH
CHI Unknown	NONE
CHO United States	KCHO
CHQ Greece	LGSA
CHS United States	KCHS
CIA Italy	LIRA
CIC United States	KCIC
CID United States	KCID
CIH People's Repub	ZBCZ
CIU United States	KCIU
CIW Saint Vincent 	TVSC
CIX Peru	SPHI
CJA Peru	SPJR
CJB India	VOCB
CJC Chile	SCCF
CJJ South Korea	RKTU
CJL Pakistan	OPCH
CJS Mexico	MMCS
CJT Unknown	NONE
CJU South Korea	RKPC
CKB United States	KCKB
CKG People's Repub	ZUCK
CKS Brazil	SBCJ
CKY Guinea	GUCY
CLD United States	KCRQ
CLE United States	KCLE
CLJ Romania	LRCL
CLL United States	KCLL
CLM United States	KCLM
CLO Colombia	SKCL
CLQ Mexico	MMIA
CLT United States	KCLT
CLY France	LFKC
CMB Sri Lanka	VCBI
CME Mexico	MMCE
CMF France	LFLB
CMG Brazil	SBCR
CMH United States	KCMH
CMI United States	KCMI
CMN Morocco	GMMN
CMX United States	KCMX
CND Romania	LRCK
CNF Brazil	SBCF
CNJ Australia	YCCY
CNM United States	KCNM
CNQ Argentina	SARC
CNS Australia	YBCS
CNX Thailand	VTCC
CNY United States	KCNY
COD United States	KCOD
COK India	VOCI
COO Benin	DBBB
COQ Mongolia	ZMCD
COR Argentina	SACO
COS United States	KCOS
COU United States	KCOU
CPC Argentina	SAZY
CPD Australia	YCBP
CPE Mexico	MMCP
CPH Denmark	EKCH
CPO Chile	SCHA
CPQ Unknown	NONE
CPR United States	KCPR
CPT South Africa	FACT
CPV Brazil	SBKG
CPX Puerto Rico	TJCP
CRD Argentina	SAVC
CRG United States	KCRG
CRI Bahamas	MYCI
CRK Philippines	RPLC
CRP United States	KCRP
CRU Grenada	TGPZ
CRV Italy	LIBC
CRW United States	KCRW
CSG United States	KCSG
CSX People's Repub	ZGHA
CTA Italy	LICC
CTG Colombia	SKCG
CTL Australia	YBCV
CTM Mexico	MMCM
CTS Japan	RJCC
CTU People's Repub	ZUUU
CUC Colombia	SKCC
CUE Ecuador	SECU
CUL Mexico	MMCL
CUM Venezuela	SVCU
CUN Mexico	MMUN
CUP Venezuela	SVCP
CUR Netherlands An	TNCC
CUU Mexico	MMCU
CUZ Peru	SPZO
CVG United States	KCVG
CVJ Mexico	MMCB
CVM Mexico	MMCV
CVN United States	KCVN
CWA United States	KCWA
CWB Brazil	SBCT
CWL United Kingdom	EGFF
CWT Australia	YCWR
CXH Canada	CYHC
CXI Line Islands	PLCH
CXJ Brazil	SBCX
CYB Cayman Islands	MWCB
CYF Alaska	PACK
CYI Taiwan	RCKU
CYR Uruguay	SUCA
CYS United States	KCYS
CZE Venezuela	SVCR
CZL Algeria	DABC
CZM Mexico	MMCZ
CZS Brazil	SBCZ
CZX People's Repub	ZSCG
DAB Unknown	NONE
DAC Bangladesh	VGZR
DAD Vietnam	VVDN
DAL Unknown	NONE
DAM Syria	OSDI
DAN Unknown	NONE
DAR Tanzania	HTDA
DAY Unknown	NONE
DBM Ethiopia	HADM
DBO Australia	YSDU
DBQ Unknown	NONE
DBV Croatia	LDDU
DCA Unknown	NONE
DCF Dominica	TDCF
DDC Unknown	NONE
DDG People's Repub	ZYDD
DEA Pakistan	OPDG
DEB Hungary	LHDC
DEC Unknown	NONE
DEL India	VIDP
DEM Ethiopia	HADD
DEN Unknown	NONE
DET Unknown	NONE
DFW Unknown	NONE
DGA Unknown	NONE
DGO Mexico	MMDO
DGT Philippines	RPVD
DHA Saudi Arabia	OEDR
DHM India	VIGG
DHN Unknown	NONE
DIB India	VEMN
DIG Unknown	NONE
DIJ France	LFSD
DIK Unknown	NONE
DIL East Timor 	WPDL
DIN Vietnam	VVDB
DIR Ethiopia	HADR
DIU Unknown	NONE
DIY Turkey	LTCC
DJE Tunisia	DTTJ
DJJ Indonesia	WAJJ
DKR Senegal	GOOY
DLA Cameroo	FKKD
DLC People's Repub	ZYTL
DLG Alaska	PADL
DLH Unknown	NONE
DLI Vietnam	VVDL
DLM Turkey	LTBS
DLU Unknown	NONE
DLZ Mongolia	ZMDZ
DME Russian Federa	UUDD
DMM Saudi Arabia	OEDF
DNA Japan	RODN
DND United Kingdom	EGPN
DNF Unknown	NONE
DNH People's Repub	ZLDH
DNK Ukraine	UKDD
DNM Australia	YSHK
DNV Unknown	NONE
DNZ Turkey	LTAY
DOH Qatar	OTBD
DOK Ukraine	UKCC
DOL France	LFRG
DOM Dominica	TDPD
DPA Unknown	NONE
DPL Philippines	RPMG
DPO Australia	YDPO
DPS Indonesia	WADD
DRO Unknown	NONE
DRS Germany	EDDC
DRT Unknown	NONE
DRW Australia	YPDN
DSA United Kingdom	EGCN
DSE Ethiopia	HADC
DSI Unknown	NONE
DSK Pakistan	OPDI
DSM Unknown	NONE
DTM Germany	EDLW
DTW Unknown	NONE
DUB Ireland	EIDW
DUD New Zealand	NZDN
DUJ Unknown	NONE
DUQ Unknown	NONE
DUR South Africa	FALE
DUS Germany	EDDL
DUT Alaska	PADU
DVL Unknown	NONE
DVO Philippines	RPMD
DWD Unknown	NONE
DXB United Arab Em	OMDB
DYG Unknown	NONE
EAM Saudi Arabia	OENG
EAR Unknown	NONE
EAS Spain	LESO
EAT Unknown	NONE
EAU Unknown	NONE
EBA Italy	LIRJ
EBB Uganda	HUEN
EBJ Denmark	EKEB
ECH Australia	YECH
EDI United Kingdom	EGPH
EDR Unknown	NONE
EEN Unknown	NONE
EFD Unknown	NONE
EFL Greece	LGKF
EGC France	LFBE
EGE Unknown	NONE
EGO Russian Federa	UUOB
EHM Alaska	PAEH
EIN Netherlands	EHEH
EIS British Virgin	TUPJ
EJA Colombia	SKEJ
EJH Saudi Arabia	OEWJ
EKO Unknown	NONE
ELD Unknown	NONE
ELH Bahamas	MYEH
ELM Unknown	NONE
ELP Unknown	NONE
ELQ Saudi Arabia	OEGS
ELS South Africa	FAEL
ELY Unknown	NONE
EMA United Kingdom	EGNX
EMD Australia	YEML
ENA Alaska	PAEN
ENS Netherlands	EHTW
ENV Unknown	NONE
EOH Colombia	SKMD
EPR Australia	YESP
EQS Argentina	SAVE
ERF Germany	EDDE
ERI Unknown	NONE
ERS Namibia	FYWE
ERZ Turkey	LTCE
ESB Turkey	LTAC
ESC Unknown	NONE
ESD Unknown	NONE
ESR Chile	SCES
ETH Israel	LLET
ETZ France	LFJL
EUG Unknown	NONE
EUN Western Sahara	GSAI
EVE Norway	ENEV
EVN Armenia	UDYZ
EVV Unknown	NONE
EWB Unknown	NONE
